figure_id,role,png,pdf,source_script,source_data,caption,article_section,generated_at,dpi
BASICS-F1,manuscript,figures\manuscript\fig1_reliability_diagram.png,figures\manuscript\fig1_reliability_diagram.pdf,scripts/generate_manuscript_figures.py,examples/figures/baseline/fig01_reliability_diagram.png,Reliability diagram for calibration-aware CDSS evaluation.,Calibration and reliability,2026-05-17T16:05:32,300
BASICS-F2,manuscript,figures\manuscript\fig2_coverage_risk.png,figures\manuscript\fig2_coverage_risk.pdf,scripts/generate_manuscript_figures.py,examples/figures/baseline/fig04_coverage_risk.png,Coverage-risk trade-off for selective prediction under safety constraints.,Selective prediction,2026-05-17T16:05:32,300
BASICS-F3,manuscript,figures\manuscript\fig3_abstention_analysis.png,figures\manuscript\fig3_abstention_analysis.pdf,scripts/generate_manuscript_figures.py,examples/figures/baseline/fig06_abstention_analysis.png,Abstention analysis showing when the evaluator defers unsafe predictions.,Abstention and uncertainty,2026-05-17T16:05:32,300
BASICS-F4,manuscript,figures\manuscript\fig4_harm_by_tier.png,figures\manuscript\fig4_harm_by_tier.pdf,scripts/generate_manuscript_figures.py,examples/figures/baseline/fig07_harm_by_tier.png,Harm distribution by safety tier for beyond-accuracy CDSS assessment.,Harm-aware evaluation,2026-05-17T16:05:32,300
BASICS-F5,manuscript,figures\manuscript\fig5_metric_comparison.png,figures\manuscript\fig5_metric_comparison.pdf,scripts/generate_manuscript_figures.py,examples/figures/baseline/fig10_metric_comparison.png,Metric comparison across conventional and safety-aware evaluation criteria.,Metric comparison,2026-05-17T16:05:32,300
BASICS-F6,supplementary,figures\manuscript\fig6_evaluation_dashboard.png,figures\manuscript\fig6_evaluation_dashboard.pdf,scripts/generate_manuscript_figures.py,examples/figures/baseline/fig12_evaluation_dashboard.png,Compact evaluation dashboard retained as a supplementary overview panel.,Supplementary overview,2026-05-17T16:05:32,300
