model,loss_gap,loss_metric,rho,delta_min,rho_delta_min,bound_holds,fraction_bound_holds
gradient_boosting,0.016612567532096945,brier,0.2,-0.005323462469883078,-0.0010646924939766156,True,0.8333333333333334
logistic_regression,0.024805642077830065,brier,0.2,-0.005323462469883078,-0.0010646924939766156,True,0.8333333333333334
lstm,0.0010626160617814018,brier,0.2,-0.005323462469883078,-0.0010646924939766156,True,0.8333333333333334
random_forest,0.013055499999999984,brier,0.2,-0.005323462469883078,-0.0010646924939766156,True,0.8333333333333334
tcn,0.020755509095348817,brier,0.2,-0.005323462469883078,-0.0010646924939766156,True,0.8333333333333334
xgboost,-0.005323462469883078,brier,0.2,-0.005323462469883078,-0.0010646924939766156,False,0.8333333333333334
