model,net_benefit_at_0.30,max_net_benefit,max_net_benefit_threshold,useful_threshold_low,useful_threshold_high
logistic_regression,0.3106250898117546,0.393989898989899,0.01,0.01,0.98010101010101
random_forest,0.30526799827561435,0.38661616161616164,0.01,0.029797979797979796,0.9603030303030302
gradient_boosting,0.30660727115964936,0.393989898989899,0.01,0.01,0.98010101010101
xgboost,0.2979465440436844,0.38267676767676767,0.01,0.049595959595959596,0.7722222222222221
lstm,0.1506552665612876,0.393939393939394,0.01,0.0198989898989899,0.9603030303030302
tcn,0.3013989078890645,0.36353535353535354,0.01,0.08919191919191918,0.792020202020202
