model,threshold,net_benefit_model
logistic_regression,0.01,0.393989898989899
logistic_regression,0.0198989898989899,0.38373183551478923
logistic_regression,0.029797979797979796,0.3785684539302447
logistic_regression,0.039696969696969696,0.3737109498264437
logistic_regression,0.049595959595959596,0.3657344032309491
logistic_regression,0.059494949494949496,0.36311513263881434
logistic_regression,0.06939393939393938,0.36129111038749595
logistic_regression,0.07929292929292929,0.36287164015359297
logistic_regression,0.08919191919191918,0.355028834423866
logistic_regression,0.09909090909090908,0.3547023208879919
logistic_regression,0.10898989898989898,0.35553565355401884
logistic_regression,0.11888888888888888,0.3513871374527112
logistic_regression,0.12878787878787878,0.34782608695652173
logistic_regression,0.1386868686868687,0.3440676674094054
logistic_regression,0.1485858585858586,0.3381854312492585
logistic_regression,0.15848484848484848,0.3383417356859921
logistic_regression,0.16838383838383839,0.33772743835782826
logistic_regression,0.1782828282828283,0.33113398893669327
logistic_regression,0.18818181818181817,0.329501679731243
logistic_regression,0.19808080808080808,0.3278290716714951
logistic_regression,0.207979797979798,0.3274276240275475
logistic_regression,0.21787878787878787,0.3257497094149554
logistic_regression,0.22777777777777777,0.32402877697841725
logistic_regression,0.23767676767676768,0.3222631509208957
logistic_regression,0.24757575757575756,0.32045106725734995
logistic_regression,0.25747474747474747,0.31859066793633517
logistic_regression,0.2673737373737374,0.31667999448504064
logistic_regression,0.2772727272727273,0.31471698113207547
logistic_regression,0.2871717171717172,0.31269944735723393
logistic_regression,0.29707070707070704,0.3106250898117546
logistic_regression,0.30696969696969695,0.30849147354613027
logistic_regression,0.31686868686868686,0.30629602247523285
logistic_regression,0.32676767676767676,0.30403600900225053
logistic_regression,0.33666666666666667,0.30170854271356784
logistic_regression,0.3465656565656566,0.2993105580460658
logistic_regression,0.3564646464646465,0.2968388008161984
logistic_regression,0.36636363636363634,0.2942898134863702
logistic_regression,0.37626262626262624,0.29165991902834004
logistic_regression,0.38616161616161615,0.2889452032252756
logistic_regression,0.39606060606060606,0.2861414952333166
logistic_regression,0.40595959595959596,0.2832443461996259
logistic_regression,0.41585858585858587,0.2802490057063807
logistic_regression,0.4257575757575757,0.2771503957783641
logistic_regression,0.43565656565656563,0.2739430821550027
logistic_regression,0.44555555555555554,0.27062124248496994
logistic_regression,0.45545454545454545,0.2671786310517529
logistic_regression,0.46535353535353535,0.2636085395805781
logistic_regression,0.47525252525252526,0.2599037536092396
logistic_regression,0.4851515151515151,0.2560565038257799
logistic_regression,0.495050505050505,0.25205841168233645
logistic_regression,0.5049494949494949,0.24790042848398286
logistic_regression,0.5148484848484849,0.2435727670206121
logistic_regression,0.5247474747474747,0.23906482465462273
logistic_regression,0.5346464646464646,0.23436509659214239
logistic_regression,0.5445454545454546,0.22946107784431136
logistic_regression,0.5544444444444444,0.22433915211970074
logistic_regression,0.5643434343434344,0.21898446556920934
logistic_regression,0.5742424242424242,0.21338078291814946
logistic_regression,0.5841414141414141,0.21453364100072872
logistic_regression,0.594040404040404,0.21598656382184622
logistic_regression,0.6039393939393939,0.21776205049732214
logistic_regression,0.6138383838383838,0.21193696050222338
logistic_regression,0.6237373737373737,0.2008053691275168
logistic_regression,0.6336363636363637,0.2029900744416873
logistic_regression,0.6435353535353535,0.1865471805043922
logistic_regression,0.6534343434343434,0.17973622850480916
